symbol	keggID
AMPD1	01100
AMPD2	00230
AMPD2	01100
AMPD3	00230
AMPD3	01100
AMPH	04666
AMT	00260
AMT	00670
AMT	00910
AMT	01100
AMY1A	00500
AMY1A	01100
AMY1A	04970
AMY1A	04973
AMY1B	00500
AMY1B	01100
AMY1B	04970
AMY1B	04973
AMY1C	00500
AMY1C	01100
AMY1C	04970
AMY1C	04973
AMY2A	00500
AMY2A	01100
AMY2A	04972
AMY2A	04973
AMY2B	00500
AMY2B	01100
AMY2B	04972
AMY2B	04973
ANGPT1	05323
ANPEP	00480
ANPEP	01100
ANPEP	04614
ANPEP	04640
SLC25A4	04020
SLC25A4	05012
SLC25A4	05016
SLC25A5	04020
SLC25A5	05012
SLC25A5	05016
SLC25A6	04020
SLC25A6	05012
SLC25A6	05016
AOC2	00260
AOC2	00350
AOC2	00360
AOC2	00410
AOC2	01100
AOX1	00280
AOX1	00350
AOX1	00380
AOX1	00750
AOX1	00760
AOX1	00982
AOX1	01100
APAF1	04115
APAF1	04210
APAF1	05010
APAF1	05012
APAF1	05014
APAF1	05016
APAF1	05222
NUDT2	00230
NUDT2	00240
APBB1	05010
APC	04310
APC	04810
APC	05200
APC	05210
APC	05213
APC	05217
AIRE	04120
AIRE	05340
APEX1	03410
BIRC2	04120
BIRC2	04210
BIRC2	04510
BIRC2	04621
BIRC2	05145
BIRC2	05200
BIRC2	05222
BIRC3	04120
BIRC3	04210
BIRC3	04510
BIRC3	04621
BIRC3	05145
BIRC3	05200
BIRC3	05222
XIAP	04120
XIAP	04210
XIAP	04510
XIAP	04621
XIAP	05145
XIAP	05200
XIAP	05222
BIRC5	05200
BIRC5	05210
APOA1	03320
APOA1	04975
APOA1	04977
APOA1	05143
APOA2	03320
APOA4	04975
APOA4	04977
APOB	04975
APOB	04977
AQP8	04976
APOC3	03320
APOE	05010
APP	05010
APRT	00230
APRT	01100
KLK3	05200
KLK3	05215
FAS	04010
FAS	04060
FAS	04115
FAS	04210
FAS	04650
FAS	04940
FAS	05010
FAS	05142
FAS	05143
FAS	05200
FAS	05320
FAS	05330
FAS	05332
FASLG	04010
FASLG	04060
FASLG	04210
FASLG	04650
FASLG	04722
FASLG	04940
FASLG	05142
FASLG	05143
FASLG	05200
FASLG	05320
FASLG	05330
FASLG	05332
AQP1	04964
AQP1	04976
AQP2	04962
AQP3	04962
AQP4	04962
AQP4	04976
AQP5	04970
AQP7	03320
AQP9	04976
AR	04114
AR	05200
AR	05215
ABCC6	02010
ARAF	04012
ARAF	04270
ARAF	04650
ARAF	04720
ARAF	04730
ARAF	04810
ARAF	04910
ARAF	04914
ARAF	05160
ARAF	05200
ARAF	05210
ARAF	05211
ARAF	05212
ARAF	05213
ARAF	05214
ARAF	05215
ARAF	05218
ARAF	05219
ARAF	05220
ARAF	05221
ARAF	05223
AREG	04012
ARF1	05110
ARF6	04144
ARF6	04666
ARG1	00330
ARG1	01100
ARG1	05146
ARG2	00330
ARG2	01100
ARG2	05146
RHOA	04062
RHOA	04144
RHOA	04270
RHOA	04310
RHOA	04350
RHOA	04360
RHOA	04510
RHOA	04520
RHOA	04530
RHOA	04660
RHOA	04670
RHOA	04722
RHOA	04810
RHOA	04972
RHOA	05100
RHOA	05130
RHOA	05200
RHOA	05210
RHOG	05100
RHOG	05131
ARHGAP5	04510
ARHGAP5	04670
ARHGDIA	04722
ARHGDIA	04962
ARHGDIB	04722
ARHGDIB	04962
RHOH	04670
ARNT	05200
ARNT	05211
ARNTL	04710
ARRB1	04010
ARRB1	04062
ARRB1	04144
ARRB1	04744
ARRB2	04010
ARRB2	04062
ARRB2	04144
ARRB2	04740
ARRB2	04744
ARSA	00600
ARSA	04142
ARSB	00531
ARSB	01100
ARSB	04142
STS	00140
ASAH1	00600
ASAH1	01100
ASAH1	04142
ASIP	04916
ASL	00250
ASL	00330
ASL	01100
ASMT	00380
ASMT	01100
ASNS	00250
ASNS	00910
