symbol	reactomeID
MAMLD1	R-HSA-157118
MAMLD1	R-HSA-162582
MAMLD1	R-HSA-162582
MAMLD1	R-HSA-1643685
MAMLD1	R-HSA-186712
MAMLD1	R-HSA-1912408
MAMLD1	R-HSA-1912408
MAMLD1	R-HSA-1912422
MAMLD1	R-HSA-1912422
MAMLD1	R-HSA-1980143
MAMLD1	R-HSA-1980143
MAMLD1	R-HSA-1980145
MAMLD1	R-HSA-1980145
MAMLD1	R-HSA-210744
MAMLD1	R-HSA-2122947
MAMLD1	R-HSA-2122947
MAMLD1	R-HSA-212436
MAMLD1	R-HSA-212436
MAMLD1	R-HSA-2197563
MAMLD1	R-HSA-2197563
MAMLD1	R-HSA-2644602
MAMLD1	R-HSA-2644603
MAMLD1	R-HSA-2644606
MAMLD1	R-HSA-2894858
MAMLD1	R-HSA-2894862
MAMLD1	R-HSA-350054
MAMLD1	R-HSA-5663202
MAMLD1	R-HSA-73857
MAMLD1	R-HSA-73857
MAMLD1	R-HSA-74160
MAMLD1	R-HSA-74160
MAMLD1	R-HSA-8878159
MAMLD1	R-HSA-8878159
MAMLD1	R-HSA-8941856
MAMLD1	R-HSA-8941856
MAMLD1	R-HSA-9012852
MAMLD1	R-HSA-9012852
MAMLD1	R-HSA-9013508
MAMLD1	R-HSA-9013508
MAMLD1	R-HSA-9013694
MAMLD1	R-HSA-9013694
MAMLD1	R-HSA-9013695
MAMLD1	R-HSA-9013695
RANBP9	R-HSA-1266738
RANBP9	R-HSA-162582
RANBP9	R-HSA-373760
RANBP9	R-HSA-422475
RANBP9	R-HSA-5673001
RANBP9	R-HSA-5683057
RANBP9	R-HSA-5684996
RANBP9	R-HSA-6806834
RANBP9	R-HSA-8851805
RANBP9	R-HSA-9006934
RANBP9	R-HSA-9675108
DNAJB6	R-HSA-2262752
DNAJB6	R-HSA-3371453
DNAJB6	R-HSA-3371556
DNAJB6	R-HSA-8953897
CDH7	R-HSA-1500931
CDH7	R-HSA-418990
